Query 1,3,30.0,-2.5
Query 2,3,30.0,-9.0
Query 3,0,0.0,0
Query 4,3,30.0,-2.25
Query 5,4,40.0,1.0
Query 6,5,50.0,-0.44999999999999996
Query 7,7,70.0,-0.2142857142857142
Query 8,4,40.0,-3.8
Query 9,2,20.0,-67.0
Query 10,0,0.0,0
Query 11,4,40.0,-1.2999999999999998
Query 12,3,30.0,-5.0
Query 13,6,60.0,0.08571428571428574
Query 14,4,40.0,-9.2
Query 15,4,40.0,0.0
Query 16,2,20.0,-1.0
Query 17,4,40.0,0.5
Query 18,1,10.0,-80
Query 19,3,30.0,-3.75
Query 20,0,0.0,0
Query 21,3,30.0,-8.5
Query 22,2,20.0,-16.0
Query 23,6,60.0,0.17142857142857137
Query 24,0,0.0,0
Query 25,2,20.0,-9.0
Query 26,3,30.0,-4.0
Query 27,3,30.0,-0.5
Query 28,4,40.0,-2.6
Query 29,4,40.0,-1.7999999999999998
Query 30,4,40.0,-5.1
Query 31,2,20.0,-16.0
Query 32,5,50.0,-1.5
Query 33,0,0.0,0
Query 34,4,40.0,-1.5
Query 35,3,30.0,-6.5
Query 36,4,40.0,-1.1
Query 37,0,0.0,0
Query 38,4,40.0,-0.8
Query 39,3,30.0,-8.5
Query 40,5,50.0,-0.5
Query 41,4,40.0,-2.8
Query 42,1,10.0,-8
Query 43,2,20.0,-8.0
Query 44,3,30.0,-1.25
Query 45,3,30.0,-5.25
Query 46,5,50.0,0.35
Query 47,2,20.0,-3.0
Query 48,1,10.0,-35
Query 49,3,30.0,-4.0
Query 50,2,20.0,0.0
Query 51,2,20.0,0.0
Query 52,2,20.0,-1.0
Query 53,2,20.0,-3.0
Query 54,3,30.0,-17.25
Query 55,6,60.0,-0.48571428571428577
Query 56,4,40.0,-11.6
Query 57,3,30.0,-2.5
Query 58,2,20.0,-19.0
Query 59,2,20.0,-1.0
Query 60,2,20.0,-17.0
Query 61,1,10.0,1
Query 62,5,50.0,-0.55
Query 63,5,50.0,0.7
Query 64,1,10.0,-3
Query 65,3,30.0,-3.25
Query 66,3,30.0,-4.25
Query 67,0,0.0,0
Query 68,5,50.0,-0.25
Query 69,4,40.0,-2.0
Query 70,2,20.0,-28.0
Query 71,3,30.0,-13.5
Query 72,1,10.0,1
Query 73,3,30.0,-0.5
Query 74,4,40.0,-1.1
Query 75,5,50.0,-0.8999999999999999
Query 76,1,10.0,1
Query 77,2,20.0,-8.0
Query 78,1,10.0,-3
Query 79,5,50.0,-0.95
Query 80,4,40.0,-2.7
Query 81,2,20.0,-8.0
Query 82,4,40.0,-8.3
Query 83,3,30.0,-4.25
Query 84,2,20.0,-3.0
Query 85,3,30.0,-2.5
Query 86,4,40.0,-0.7
Query 87,2,20.0,-19.0
Query 88,3,30.0,-11.75
Query 89,4,40.0,0.4
Query 90,2,20.0,0.0
Query 91,2,20.0,-40.0
Query 92,6,60.0,-1.7714285714285714
Query 93,6,60.0,0.8
Query 94,3,30.0,-3.25
Query 95,2,20.0,0.0
Query 96,7,70.0,-0.5892857142857142
Query 97,2,20.0,-40.0
Query 98,1,10.0,-8
Query 99,5,50.0,-3.1500000000000004
Query 100,3,30.0,-17.5
Average,3.01,30.1,-6.462035714285714
